wavelength,slope,abs_slope,intercept,r2,correlation,residual_std
629.4052498,-6.694523338459965e-05,6.694523338459965e-05,0.818054103243512,0.00019643374489243125,-0.014015482328212299,0.018387796218443483
629.63651863,-0.0002527274026316499,0.0002527274026316499,0.8147152703144844,0.0024105173706958174,-0.04909701997775239,0.019794013479874625
629.86779946,-0.00043134071430029437,0.00043134071430029437,0.8149097931005247,0.0058036372285798195,-0.07618160689155762,0.021735375062751795
630.09909228,-0.0009557326478629996,0.0009557326478629996,0.8191987793890461,0.02375923679507665,-0.15414031528148842,0.023586276053688474
630.33039709,-0.0016076103020362202,0.0016076103020362202,0.8278132705861239,0.05569173902368469,-0.23599097233513974,0.025486078412177336
630.56171388,-0.0024801785653798874,0.0024801785653798874,0.8421166500729242,0.10802235029585837,-0.3286675376362235,0.027438720411747455
630.79304265,-0.0033697775371110037,0.0033697775371110037,0.8572936643380968,0.17237926277040724,-0.4151858171595066,0.02842726859638061
631.0243834,-0.0039578377598552565,0.0039578377598552565,0.8682987770507066,0.2183552782170867,-0.4672850074816083,0.028829796022900755
631.25573613,-0.004195225832426783,0.004195225832426783,0.8757480747780342,0.24065881569904368,-0.49056988869991164,0.028690205817228896
631.48710084,-0.004368522819381633,0.004368522819381633,0.8820548987388915,0.2564680222944341,-0.5064267195700026,0.02863706810692977
631.71847751,-0.004499069027380958,0.004499069027380958,0.889283239570602,0.2660687754857886,-0.515818548993528,0.02876829429801678
631.94986615,-0.004520490223384862,0.004520490223384862,0.8972969086348179,0.26641726646930997,-0.5161562423039268,0.028879497360642922
632.18126676,-0.004286096232025965,0.004286096232025965,0.9062162129906686,0.24813730770317372,-0.4981338250943954,0.028724063755706165
632.41267933,-0.004045390200900376,0.004045390200900376,0.9155940139448744,0.2295713573803573,-0.47913605310011614,0.02853175636030246
632.64410387,-0.003587165092430944,0.003587165092430944,0.9247974916213397,0.19648936820083754,-0.4432712129169201,0.027927906376419467
632.87554035,-0.0032224103639645896,0.0032224103639645896,0.9332721689763418,0.18157377874308406,-0.4261147483285272,0.026339333233941328
633.1069888,-0.003168446321249577,0.003168446321249577,0.9403613438029511,0.20029408586438266,-0.4475422727121793,0.024374637988369422
633.33844919,-0.003000926128848859,0.003000926128848859,0.9469113111439613,0.21647101163264942,-0.4652644534376653,0.02198081016019614
633.56992154,-0.0028504839011186975,0.0028504839011186975,0.9531893563350616,0.24487788975243424,-0.49485138147976737,0.019271393904332034
633.80140583,-0.0025486788713333943,0.0025486788713333943,0.9578826533451871,0.2552949188548517,-0.5052671757148407,0.016758954471252325
634.03290207,-0.0021466820592997396,0.0021466820592997396,0.9655078365638046,0.24287193015999362,-0.49282038326351074,0.014592324132832778
634.26441024,-0.0015694885347195626,0.0015694885347195626,0.9746274451119581,0.17883580940266078,-0.4228898312831142,0.012948117619704928
634.49593035,-0.001137553725171926,0.001137553725171926,0.9823821307861444,0.12137142154856259,-0.34838401448482476,0.01178357552603844
634.7274624,-0.000939043978529428,0.000939043978529428,0.9911870007502825,0.10314806342117111,-0.32116672215715486,0.010660473563591136
634.95900638,-0.0008591736786149353,0.0008591736786149353,0.9996208153490815,0.1092890757311903,-0.3305889830759493,0.009443254755171382
635.19056229,-0.0008140104355340148,0.0008140104355340148,1.0062970446172672,0.13049608328611934,-0.36124241623336445,0.008089612796106288
635.42213013,-0.0006726797704211334,0.0006726797704211334,1.0078549031793624,0.13968259858365165,-0.3737413525202311,0.006427281146924441
635.65370989,-0.00046776507506706224,0.00046776507506706224,1.0051584959169912,0.12311679018549565,-0.3508800224941506,0.004806188028563991
635.88530158,-0.00030491620772320845,0.00030491620772320845,1.002038020269582,0.10517477337501176,-0.3243066039645381,0.003424163995051213
636.11690518,-0.00027657635544067803,0.00027657635544067803,1.0003689842411863,0.14724434568934475,-0.3837243094844849,0.0025625288855487135
636.34852069,-0.00021796055456453704,0.00021796055456453704,1.0001652157681578,0.21091732745418174,-0.4592573651605184,0.0016230943175222765
636.58014812,-9.427250364906219e-05,9.427250364906219e-05,1.0002166472110392,0.11639431764758769,-0.34116611444806133,0.0010000210257693118
636.81178746,4.543823222613906e-05,4.543823222613906e-05,1.000283319762805,0.05200825597892771,0.22805318673267364,0.0007468756293536798
637.04343871,4.747135852444167e-05,4.747135852444167e-05,1.0001158533878065,0.11194213422983672,0.3345775459140029,0.0005147735586328259
637.27510187,0.00016870229703228463,0.00016870229703228463,1.000150536432734,0.33122687835631553,0.5755231345100869,0.0009229078601361208
637.50677692,0.0001469766951850258,0.0001469766951850258,0.9999949785816882,0.34005658708913833,0.5831437104943672,0.0007882917124604708
637.73846387,6.503426857937319e-06,6.503426857937319e-06,1.000033492648303,0.008264462809917354,0.0909090909090909,0.0002742796665206432
637.97016272,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
638.20187347,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
638.4335961,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
638.66533062,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
638.89707703,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
639.12883532,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
639.36060549,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
639.59238754,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
639.82418146,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
640.05598725,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
640.28780491,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
640.51963444,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
640.75147583,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
640.98332908,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
641.21519419,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
641.44707115,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
641.67895997,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
641.91086063,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
642.14277314,0.0,0.0,0.9999999999999847,0.0,0.0,0.0
642.3746975,-1.3434043569187389e-05,1.3434043569187389e-05,1.0001039678154333,0.030360422405876896,-0.1742424242424241,0.000292293221603546
642.60663369,-5.0931273953156524e-05,5.0931273953156524e-05,1.0004328782274245,0.07194932317710993,-0.2682337099939341,0.0007042352480073399
