concentration,trial,signal_column,min,max,mean,std,rms,mad,spectral_entropy,snr
0.1,Multi mix vary-EtOH-0.1-1,transmittance,-0.02962558591867883,1.0657507428380182,0.6188677817287574,0.2916930398279753,0.684165302208434,0.3939697468458979,11.675221159071484,5.08300967466216
0.1,Multi mix vary-EtOH-0.1-2,transmittance,0.03383002688693471,1.0649753040538266,0.6194125801389139,0.2888794862746967,0.6834641922037168,0.38725846989690804,11.639835519891468,5.113266187573546
0.1,Multi mix vary-EtOH-0.1-3,transmittance,5.722975936495872e-05,1.0640667900462355,0.6214111021586621,0.2848406507345108,0.683583172845048,0.37474153853275244,11.668764738290776,5.1391242703598445
0.1,Multi mix vary-EtOH-0.1-4,transmittance,0.02753723853001323,1.0638578164371086,0.6239448275007234,0.28649354350902956,0.6865753405397457,0.3878000016820599,11.650330899517774,5.058968711681069
0.1,Multi mix vary-EtOH-0.1-5,transmittance,-0.012193758298434354,1.0654602746613144,0.6244113598548815,0.2887984230159031,0.68796371666847,0.3925712972251797,11.671255188618243,5.146244374095892
0.5,Multi mix vary-EtOH-0.5-1,transmittance,0.022906998061907213,1.064848476855293,0.6276162450133597,0.2828753705424429,0.6884189322383529,0.3835587625712234,11.65968902333028,5.084000793467709
0.5,Multi mix vary-EtOH-0.5-2,transmittance,-0.06752255429300616,1.0652065223676566,0.6186606493716154,0.28867074450857305,0.6826945128064547,0.39137958751108565,11.696609179237463,5.005754479015723
0.5,Multi mix vary-EtOH-0.5-3,transmittance,-0.011048778552139534,1.0649982232073922,0.6246325977966574,0.2841383377305853,0.6862218862718537,0.38112887666509226,11.677390586628288,5.060817997726849
0.5,Multi mix vary-EtOH-0.5-4,transmittance,-0.008472805482311427,1.0657480751699255,0.6231613660193256,0.2841441727170705,0.6848853911335387,0.37444621979293047,11.674603857353478,5.02903778276738
0.5,Multi mix vary-EtOH-0.5-5,transmittance,-0.022464900406092024,1.0648354666509514,0.6243037752328834,0.28312579944997424,0.6855037724799313,0.3822854492685281,11.683811777717064,5.070121484510094
1.0,Multi mix vary-EtOH-1-1,transmittance,0.012290371679298818,1.0635492602460692,0.6203243494760808,0.2861838413829514,0.6831570021756531,0.3778096915753402,11.659075587066276,5.037364354542853
1.0,Multi mix vary-EtOH-1-2,transmittance,0.016634930775484585,1.0653344576605388,0.6244410003151117,0.2824207895838921,0.6853379204915824,0.3805509735624682,11.663114412931007,5.0239713319766635
1.0,Multi mix vary-EtOH-1-3,transmittance,-0.009678983540277113,1.065560580381725,0.6180277854066031,0.2864374391611692,0.6811789413126325,0.38157895701669137,11.669816658999654,5.013471792006734
1.0,Multi mix vary-EtOH-1-4,transmittance,-0.03150517541891733,1.0629883876118114,0.6213348871863026,0.28514720031617324,0.6836416955415807,0.3809966830582366,11.68404078694192,4.966640227760604
1.0,Multi mix vary-EtOH-1-5,transmittance,-0.03343105280080881,1.063172974567713,0.6172037957215454,0.28542906851568733,0.6800075577571297,0.3844175445306917,11.683792088211476,5.070641661534849
10.0,Multi mix vary-EtOH-10-1,transmittance,-0.03753990668874418,1.0650472951214898,0.6158536724835842,0.2843712764634131,0.6783382406948238,0.37577964693788496,11.686321030169164,4.981543086439499
10.0,Multi mix vary-EtOH-10-2,transmittance,0.0002961385150052243,1.0647798805152813,0.6177329904959665,0.2844386947266192,0.6800730979864391,0.3760219028113363,11.666950430640096,4.937348544920056
10.0,Multi mix vary-EtOH-10-3,transmittance,-0.06650697518113512,1.0649474317827003,0.6170678631568756,0.2825127044557834,0.6786649953547872,0.36667972970121804,11.701596319239396,5.016204425616801
10.0,Multi mix vary-EtOH-10-4,transmittance,0.008126281535508519,1.0644025348079014,0.6172556685810486,0.2834881889462046,0.6792423085081172,0.3734313607705844,11.6630276947276,4.954086927754257
10.0,Multi mix vary-EtOH-10-5,transmittance,-0.07153951495488237,1.064032691633209,0.6175405468096239,0.2833768716083816,0.6794547654674905,0.37321437610546404,11.702462880481217,4.9495898232915465
5.0,Multi mix vary-EtOH-5-1,transmittance,0.037775989890455636,1.0638089750857365,0.6170360327193222,0.28381908684479695,0.6791809329857654,0.3746441223414273,11.642463253825436,5.008048828243915
5.0,Multi mix vary-EtOH-5-2,transmittance,-0.021134219337704246,1.062432973956935,0.6183463650437611,0.2812435713855696,0.6793012392219981,0.36262550960108686,11.682942427775632,4.991171506069572
5.0,Multi mix vary-EtOH-5-3,transmittance,0.0038954489383123993,1.0637729856689138,0.6144497083006166,0.2822248047571762,0.6761651310522742,0.37463440934333203,11.665947555729229,4.905399802142907
5.0,Multi mix vary-EtOH-5-4,transmittance,-0.08073249202245063,1.0621227197350227,0.6167211697846233,0.2819397245852302,0.6781113548376179,0.3663616907706971,11.706971054303871,5.011392556306644
5.0,Multi mix vary-EtOH-5-5,transmittance,0.0058274137604553446,1.064721601403174,0.6193585827216659,0.2811753639720078,0.6801945598839951,0.3722748940963266,11.667993222533433,5.0133405080239175
