concentration,trial,signal_column,min,max,mean,std,rms,mad,spectral_entropy,snr
0.1,Multi mix vary-IPA-0.1-1,transmittance,-0.02135864595372425,1.0622689509366978,0.6115206019132398,0.2888032176291211,0.676287472216708,0.39387526406010775,11.667905630546993,5.148142237757372
0.1,Multi mix vary-IPA-0.1-2,transmittance,-0.026424486126446586,1.0643506389668629,0.6106820306067282,0.28529580384238995,0.6740372676610934,0.3773591929135966,11.675302204702652,5.1053136983643235
0.1,Multi mix vary-IPA-0.1-3,transmittance,-0.020956244875214414,1.0602615642578135,0.6071725536720382,0.28984851908859144,0.6728080513418918,0.398932514201336,11.664243759607295,5.014002065893286
0.1,Multi mix vary-IPA-0.1-4,transmittance,-0.0897371468011883,1.0583843146150684,0.6077554174970364,0.2882873232808326,0.6726635327274879,0.3876637298647459,11.6997733803903,5.054309022818369
0.1,Multi mix vary-IPA-0.1-5,transmittance,-0.03845006436187589,1.0635188823618948,0.6108407939674335,0.28047522943486997,0.6721553614316466,0.35146656527775133,11.686199858139275,4.919598559391652
0.5,Multi mix vary-IPA-0.5-1,transmittance,-0.06442097201421257,1.0589362896848915,0.6095094571219702,0.28391235581768526,0.6723897709714707,0.371905086039816,11.693592194676764,4.938805962169498
0.5,Multi mix vary-IPA-0.5-2,transmittance,0.0025169359384556583,1.0608798869194778,0.6172891341961442,0.2778220328377154,0.676927586324199,0.35554672416677185,11.670742290801538,4.870455852274783
0.5,Multi mix vary-IPA-0.5-3,transmittance,0.009972094417696056,1.0629719410652032,0.6150342853131989,0.2780386034463612,0.6749612115648723,0.35013715794480677,11.665706830197996,4.927104325391041
0.5,Multi mix vary-IPA-0.5-4,transmittance,-0.05302849963034415,1.0607957095181928,0.6069112056868998,0.2928123228313368,0.6738547825683285,0.3916298338980221,11.675613908365033,4.909385202137652
0.5,Multi mix vary-IPA-0.5-5,transmittance,-0.09813318908507054,1.0798289179118972,0.6048316147050388,0.2974321826403994,0.6740082977359674,0.41219009249247834,11.692385015473402,5.233888876831286
1.0,Multi mix vary-IPA-1-1,transmittance,-0.231507622811972,1.0807453416148873,0.605002392103031,0.29344960310287804,0.6724139826116247,0.38851719134167345,11.738917226739368,5.156240855872834
1.0,Multi mix vary-IPA-1-2,transmittance,-0.05725994026620747,1.0807453416148873,0.6046090928584669,0.287559217132697,0.6695091175817607,0.3804839769056811,11.684482892831987,5.245616629663975
1.0,Multi mix vary-IPA-1-3,transmittance,-0.028202233068623253,1.063855896614181,0.6134290229141502,0.2789442656407506,0.6738731850187145,0.3635859795641191,11.685252329880631,4.929483971297728
1.0,Multi mix vary-IPA-1-4,transmittance,-0.05751946319949754,1.0630638029696424,0.6113134940039098,0.28905315514345326,0.6762070056200642,0.38879920431037257,11.685402583780842,4.910187854213508
1.0,Multi mix vary-IPA-1-5,transmittance,-0.029081473958047305,1.063929864801937,0.6133604814805093,0.2833833122672632,0.6756605522846271,0.37923590234644683,11.679271049743452,5.118198978548479
10.0,Multi mix vary-IPA-10-1,transmittance,-0.23535968177212774,1.0781532836830838,0.6084565162101147,0.29428607681764823,0.6758872887747427,0.40840148684344174,11.73973008507876,5.176632946819521
10.0,Multi mix vary-IPA-10-2,transmittance,-0.08511271329600671,1.0807453416148873,0.6044644987311075,0.2898196368685115,0.6703527072674839,0.38444375175000667,11.694079437116507,5.246055712555092
10.0,Multi mix vary-IPA-10-3,transmittance,-0.04016441354263607,1.0649822721464315,0.6117667410605011,0.2797170096339067,0.6726813145511932,0.36545045533376835,11.687914813970062,4.949121196524327
10.0,Multi mix vary-IPA-10-4,transmittance,-0.06061819345497676,1.0652758686500963,0.6136507581025176,0.27722511185486765,0.6733654398339273,0.35439805059861207,11.700729131325389,4.924587976562481
10.0,Multi mix vary-IPA-10-5,transmittance,-0.026110667047403023,1.066330476883861,0.6174399050664043,0.26953449886154746,0.6737068223232981,0.3328891704005553,11.696417533632221,4.918323558078523
5.0,Multi mix vary-IPA-5-1,transmittance,-0.05435164088237268,1.069137686479649,0.6115823499520021,0.2929712704879858,0.6781335680411035,0.40481803145874573,11.679455937454243,5.232937359743786
5.0,Multi mix vary-IPA-5-2,transmittance,-0.03639768566344552,1.0807453416148873,0.6065535536312032,0.2977203474410751,0.6756808556582579,0.4090828278896086,11.660152796343986,5.308676251986889
5.0,Multi mix vary-IPA-5-3,transmittance,-0.04813714462347924,1.0646145697721214,0.6046538211032616,0.29211915649000925,0.6715205469404564,0.39059698403675996,11.672943118158791,5.2640668592470545
5.0,Multi mix vary-IPA-5-4,transmittance,-0.0887827967160504,1.0653068227841582,0.6089614533103356,0.2854593781357223,0.6725482199689992,0.3692951042018924,11.702395318204726,5.149251363435789
5.0,Multi mix vary-IPA-5-5,transmittance,-0.01728817524848477,1.0704293886463399,0.60720975256211,0.29193194572318165,0.6737417491444786,0.4108076289792654,11.658447273770545,5.281190412807091
