wavelength,slope,abs_slope,intercept,r2,correlation,residual_std
743.16266304,-0.0033125974511272736,0.0033125974511272736,1.0045192156390692,0.37199358254983567,-0.6099127663443648,0.01657080893623859
743.39943387,-0.0034713851436248785,0.0034713851436248785,1.005186191157347,0.3958332021172329,-0.6291527653259047,0.016511474099456004
743.63621535,-0.003471364854675302,0.003471364854675302,1.0064057363740322,0.4086163859093035,-0.639231089598514,0.01607821182661409
743.87300747,-0.0035417228770697976,0.0035417228770697976,1.0077054111063812,0.42681699292894415,-0.6533123241826563,0.015801601627096682
744.10981023,-0.003654320265954985,0.003654320265954985,1.0085561109152055,0.4456300532837842,-0.6675552810695038,0.01569205924599438
744.34662363,-0.003703647839575249,0.003703647839575249,1.0057107537335206,0.45244859839429,-0.6726429947559776,0.01568621772040964
744.58344766,-0.003710093988275157,0.003710093988275157,1.003040584906473,0.4414243512212167,-0.6643977357134931,0.01606787693999349
744.82028232,-0.0036209425454916673,0.0036209425454916673,0.9981437496476125,0.3840416378666757,-0.6197109308917148,0.01765504726032334
745.05712761,-0.00362026009961706,0.00362026009961706,0.9906998274504459,0.3093490691046987,-0.5561915759023133,0.020825977617967468
745.29398353,-0.0036930814123335293,0.0036930814123335293,0.9810466838934772,0.23797038676785623,-0.48782208515795616,0.025443337410706646
745.53085007,-0.0036638206892016935,0.0036638206892016935,0.9697137419885224,0.17897246806710432,-0.42305137757381706,0.030212084246954908
745.76772724,-0.0038198273609456376,0.0038198273609456376,0.9543191403256155,0.15352423586802813,-0.39182168886883756,0.03453212120129904
746.00461502,-0.0038305240182022813,0.0038305240182022813,0.9390425371710527,0.12882122848137492,-0.3589167431053822,0.038351189909180204
746.24151341,-0.0035620411647090803,0.0035620411647090803,0.9232556941211431,0.09956871429604655,-0.3155451065949947,0.041240460123136195
746.47842242,-0.003094737488288369,0.003094737488288369,0.9081005416694822,0.07000546952826125,-0.26458546734138905,0.043426892746460485
746.71534204,-0.0024793545594880145,0.0024793545594880145,0.891607323642162,0.04512011684601433,-0.21241496379966815,0.04391254734627516
746.95227227,-0.0018751576494557586,0.0018751576494557586,0.8761785998749646,0.027524429584035226,-0.16590488113384497,0.042911994626202855
747.1892131,-0.0013776100271689345,0.0013776100271689345,0.8605206162812236,0.016220585608863993,-0.12736006284885382,0.04130499989144241
747.42616453,-0.000709884179250404,0.000709884179250404,0.8459245946151072,0.004831719270190974,-0.06951056948544569,0.039223436670789646
747.66312656,-0.00037288227836284894,0.00037288227836284894,0.8307310781651297,0.0014210950398451635,-0.03769741423287761,0.038055033176834854
747.90009918,-3.225760678870797e-05,3.225760678870797e-05,0.8177273868977067,1.1803710067896385e-05,-0.0034356527862833266,0.03614773112937114
748.1370824,0.00012782898305372834,0.00012782898305372834,0.8056847357309008,0.00021636803854595304,0.014709454053293516,0.0334538819890268
748.37407621,0.00021559422248662835,0.00021559422248662835,0.7940752746914091,0.0007612015556936771,0.027589881400500386,0.030073408847687725
748.61108061,7.647899889216483e-05,7.647899889216483e-05,0.7814620540348644,0.00011183012402776453,0.010574976313342954,0.02784192348878909
748.84809559,-9.458385124442655e-05,9.458385124442655e-05,0.768590803403878,0.00018256575076034718,-0.013511689411777758,0.026948116865063102
749.08512115,-0.00013856813405383462,0.00013856813405383462,0.7540874694575834,0.00041427688936317223,-0.020353792996961825,0.026205277758627084
749.3221573,-0.0002567741256255721,0.0002567741256255721,0.7406963700685322,0.0015111814129273916,-0.038873916871436966,0.025411206757545206
749.55920401,-0.00029009425676096895,0.00029009425676096895,0.7254061858343005,0.0020526832779829986,-0.045306547848881606,0.024625933110599837
749.79626131,-0.0003146952864068351,0.0003146952864068351,0.7098099264589305,0.002600660408760355,-0.05099667056544334,0.02372704656278281
750.03332917,-0.00025003511017898135,0.00025003511017898135,0.6951763130556338,0.0017126907260663585,-0.04138466776556698,0.02324074408918342
750.2704076,-0.00017642379984227663,0.00017642379984227663,0.6812896970883875,0.000868965805325795,-0.029478225952824823,0.023031794783390153
750.5074966,-0.00016994648428896746,0.00016994648428896746,0.6687482315629577,0.0008048057111558266,-0.028369097820618593,0.0230543327776136
750.74459616,-0.00019840482619852675,0.00019840482619852675,0.6622765725375991,0.0010797373738877874,-0.03285935747831639,0.023233749675796223
750.98170628,-0.00026693384575927713,0.00026693384575927713,0.6598692714243677,0.001864452267963866,-0.043179303699386655,0.02377844770090201
751.21882695,-0.0004200302738004241,0.0004200302738004241,0.660990483403564,0.004118550806045857,-0.06417593634724668,0.025146232712404758
751.45595818,-0.0006890248395095142,0.0006890248395095142,0.6655093403033923,0.009452327194769192,-0.09722307953757273,0.02715588281391278
751.69309997,-0.0011260499889780631,0.0011260499889780631,0.6729652660505919,0.021159778050517077,-0.14546400946803673,0.0294861961060915
751.9302523,-0.0013431476975245408,0.0013431476975245408,0.682959691220754,0.026467976905655402,-0.1626898180761642,0.03136167491533635
752.16741517,-0.0014071222635020234,0.0014071222635020234,0.6933625916974058,0.026085962734509506,-0.16151149412506066,0.03310163472793716
752.40458859,-0.0015699417235296752,0.0015699417235296752,0.7046509406473459,0.02943370550861173,-0.17156254109977426,0.034708383992182346
752.64177256,-0.0017716580618817534,0.0017716580618817534,0.7174166154154389,0.03575192064116728,-0.18908178294369682,0.035422999805294626
752.87896705,-0.002033244853830108,0.002033244853830108,0.7289074885734366,0.04464666863409768,-0.21129758312412775,0.036210781090996874
753.11617209,-0.002159092461410095,0.002159092461410095,0.7382045600567348,0.04989963283038281,-0.22338225719690186,0.036271710666941785
753.35338765,-0.0019285442288372826,0.0019285442288372826,0.7468757032617085,0.043432167174515944,-0.20840385594925048,0.034845160473339805
753.59061374,-0.0013696288999465696,0.0013696288999465696,0.7541831552156215,0.024422101374500606,-0.15627572228116754,0.03332752803803362
753.82785037,-0.0006340998856008137,0.0006340998856008137,0.7590925776657179,0.0059338923438397966,-0.07703176191571758,0.03159775347364257
754.06509751,-7.651684319128123e-05,7.651684319128123e-05,0.7599398590683123,9.774971511392056e-05,-0.00988684555932379,0.02979468488005156
754.30235518,0.0004024998575284675,0.0004024998575284675,0.7602895391315242,0.0030341973952765235,0.055083549225485855,0.02808954313935313
754.53962336,0.0008582162547518481,0.0008582162547518481,0.758938622833278,0.014886938811579561,0.12201204371528067,0.026878052774981738
