wavelength,slope,abs_slope,intercept,r2,correlation,residual_std
500.06778058,-3.495087715747448e-05,3.495087715747448e-05,0.03132939239216282,0.020788444206615027,-0.14418198294729834,0.0009235195214526356
500.29178904,-3.19742203856746e-05,3.19742203856746e-05,0.03324429053168043,0.013336252477183614,-0.11548269340980757,0.0010588352104600194
500.51581108,4.521077865857096e-05,4.521077865857096e-05,0.03055971421485355,0.03232589208379445,0.17979402683013262,0.0009523399814501268
500.73984668,-3.469321060324957e-05,3.469321060324957e-05,0.032050027339202786,0.011435625615880596,-0.10693748461545463,0.0012418745734824386
500.96389585,-4.286509276437872e-05,4.286509276437872e-05,0.030562827307977738,0.02185141042935314,-0.14782222576241077,0.00110414771181225
501.18795858,-4.028651627593162e-05,4.028651627593162e-05,0.029863468234036097,0.0228465588965521,-0.15115078199120274,0.0010143583952871523
501.41203486,-0.0001362371180637548,0.0001362371180637548,0.029351989191971666,0.21919631304025258,-0.4681840589343603,0.0009899436696634552
501.6361247,-6.632342671614116e-05,6.632342671614116e-05,0.029959731416697593,0.0727007606799584,-0.2696307858534674,0.000911943979390266
501.86022809,-0.0001417589179738012,0.0001417589179738012,0.029407225367673023,0.2036213497008891,-0.4512442240083402,0.0010793424739187758
502.08434503,-0.00010485620475628253,0.00010485620475628253,0.027218648759790857,0.08361378128151972,-0.28916047669334016,0.001336457666461071
502.30847551,-4.31664522966209e-05,4.31664522966209e-05,0.031073284901624785,0.023432355928404536,-0.1530763075345252,0.0010728778376857507
502.53261954,-3.2570416034182577e-05,3.2570416034182577e-05,0.02970214958123349,0.01965520594628213,-0.14019702545447293,0.0008855939880703053
502.75677711,-9.566529712711669e-06,9.566529712711669e-06,0.028166618638646206,0.0018653836003940409,-0.04319008683012852,0.0008519726158930917
502.98094822,-3.570459144318858e-05,3.570459144318858e-05,0.030137543963591383,0.026435808842580923,-0.16259092484693272,0.0008342011646895979
503.20513286,-4.9689424186203386e-05,4.9689424186203386e-05,0.028832302608298197,0.06885240464993655,-0.26239741738427336,0.000703516682565117
503.42933104,-4.0345025299375815e-05,4.0345025299375815e-05,0.032140440283993925,0.04037377595637629,-0.20093226708614098,0.0007572723346663961
503.65354274,-4.186996126384428e-05,4.186996126384428e-05,0.032204176711395964,0.025758757374357785,-0.1604953500085214,0.0009913661586546207
503.87776797,-1.947276359138689e-05,1.947276359138689e-05,0.033370928215123406,0.00450551119662476,-0.06712310478981705,0.0011143861714357597
504.10200673,-0.00010601935138022128,0.00010601935138022128,0.03397433776658234,0.10306759842162412,-0.3210414278899596,0.0012041058064411357
504.32625901,-0.0001670468607972115,0.0001670468607972115,0.036558665297846744,0.2404036587190578,-0.4903097579276368,0.001143194019407783
504.5505248,-0.00013000421442626637,0.00013000421442626637,0.0362020136718952,0.15504837473411182,-0.3937618248816305,0.001168424014947718
504.77480411,-0.00012098001568561304,0.00012098001568561304,0.036052606412076235,0.16052491144364284,-0.4006556020370149,0.0010651408794761549
504.99909694,-0.00010988716247821453,0.00010988716247821453,0.037658135139427666,0.15266032914324057,-0.39071771030149194,0.0009967204325400103
505.22340327,-0.0002244410355877889,0.0002244410355877889,0.03929607903815146,0.2886171316782893,-0.537230985404127,0.001356605712108449
505.44772312,-0.0001803155311744537,0.0001803155311744537,0.040412982883499184,0.21967702499380168,-0.46869715701484865,0.0013083945994366662
505.67205646,-0.00014974982116152245,0.00014974982116152245,0.04227001516625625,0.20713695524476075,-0.45512301111321624,0.0011279694459622853
505.89640331,-0.00020234720537471218,0.00020234720537471218,0.04303098160184405,0.3735684601144984,-0.6112024706384116,0.001008810623343698
506.12076366,-0.00014492748580423898,0.00014492748580423898,0.04517721245287007,0.17702964732161347,-0.42074891244257956,0.0012030414215175515
506.3451375,-7.992056029684595e-05,7.992056029684595e-05,0.04617120930018553,0.03916612290573516,-0.19790432765792454,0.0015240110353389351
506.56952484,-0.00010336709799291622,0.00010336709799291622,0.04551879244533648,0.04558497362710467,-0.2135063784225302,0.0018209617922163156
506.79392567,-0.00016463273497498173,0.00016463273497498173,0.045860302560116945,0.1154010206149317,-0.33970725723029777,0.0017548714746938416
507.01833999,-0.0001921632338786752,0.0001921632338786752,0.046147386776477214,0.214334947481064,-0.4629632247609566,0.0014164565324185831
507.24276779,-0.00014552656192724992,0.00014552656192724992,0.04456929106559847,0.15549199108357614,-0.3943247279636114,0.0013057224542433268
507.46720907,-0.00011391122089166293,0.00011391122089166293,0.046632198093360326,0.11100408039623923,-0.3331727485798309,0.001241102493856785
507.69166384,-3.694025749143024e-06,3.694025749143024e-06,0.04800089000548716,0.00010664918572024913,-0.010327109262530785,0.0013770785580107994
507.91613208,1.780795075054817e-05,1.780795075054817e-05,0.04649048560350817,0.0019141162435742562,0.04375061420796577,0.0015655771629978037
508.1406138,6.152681362793046e-05,6.152681362793046e-05,0.045236376218755266,0.02758620675049876,0.1660909592678023,0.0014063865864748033
508.36510898,2.5184844886715238e-05,2.5184844886715238e-05,0.0461159488749761,0.00902315820174698,0.09499030583036872,0.0010161374945672282
508.58961764,-8.308854534210371e-05,8.308854534210371e-05,0.044964176610535776,0.07490190378573994,-0.2736821217868276,0.0011242149353383865
508.81413976,1.8825420981616182e-05,1.8825420981616182e-05,0.04377827608234103,0.003734398455453311,0.061109724720811096,0.001183811805801808
509.03867534,1.652748327430156e-05,1.652748327430156e-05,0.04511482975552932,0.005291907210898424,0.07274549615542136,0.0008723869717585875
509.26322439,4.728388935739562e-05,4.728388935739562e-05,0.04436676748733345,0.02971141314962899,0.1723699891211605,0.0010403098946741118
509.48778689,-6.456884364985712e-05,6.456884364985712e-05,0.04289565184091753,0.05557700932657023,-0.23574776632360747,0.0010247535397719986
509.71236285,-6.798493169168512e-05,6.798493169168512e-05,0.042373511773216396,0.04814502278607379,-0.21941974110383458,0.0011638126925958305
509.93695226,-9.024518963287783e-05,9.024518963287783e-05,0.042512867149581156,0.0946528538256705,-0.30765703929159577,0.0010745472165084797
510.16155512,3.1049316916849514e-05,3.1049316916849514e-05,0.041544333267836055,0.011182362034016676,0.10574668805223489,0.0011240978252831234
510.38617142,2.155918232416911e-05,2.155918232416911e-05,0.04004954407468376,0.005616252498022516,0.0749416606302697,0.0011044516571943044
510.61080117,-2.1131225670433456e-05,2.1131225670433456e-05,0.040032328509225834,0.007139741716751513,-0.08449699235328742,0.0009593746321039834
510.83544436,-1.471541912632819e-05,1.471541912632819e-05,0.040275819791499405,0.0028062836183051186,-0.05297436755927454,0.001067965816064295
511.06010099,2.0119492438297274e-05,2.0119492438297274e-05,0.03960675620510485,0.003773184343261909,0.06142625125515889,0.0012586438319402665
511.28477105,-6.618398026648662e-05,6.618398026648662e-05,0.03912586749448474,0.03532366245354671,-0.18794590299750275,0.0013315931771576488
511.50945454,-1.3494158374093086e-05,1.3494158374093086e-05,0.04001430800580199,0.0016200339615539514,-0.04024964548358099,0.0012897109935737308
511.73415147,-1.97258791252038e-05,1.97258791252038e-05,0.04090268919869568,0.003840635383540669,-0.06197286005616224,0.001223094374551075
511.95886182,-3.936636307415482e-06,3.936636307415482e-06,0.04080818203254063,0.00020560417984337448,-0.01433890441572767,0.001056879325678453
512.1835856,-7.128394895148342e-07,7.128394895148342e-07,0.04327839146710519,7.341184298068866e-06,-0.0027094619942100804,0.0010129029182869404
512.4083228,2.2365715522572938e-05,2.2365715522572938e-05,0.04379694694446506,0.010349108564249867,0.10173056848484563,0.0008420406636304962
512.63307341,-6.754951048518582e-05,6.754951048518582e-05,0.04498456529481081,0.06015223877416778,-0.24525953350311946,0.0010279826702999538
512.85783745,7.2951220554338705e-06,7.2951220554338705e-06,0.044650293154775964,0.0009309693862503736,0.030511790938100858,0.0009200752332333663
513.08261489,2.808420756732656e-06,2.808420756732656e-06,0.04391908924308764,0.00017585294490516612,0.013260955655802719,0.000815285825116891
513.30740575,4.640690571765905e-05,4.640690571765905e-05,0.04595180919301738,0.02739061003121312,0.1655010877040182,0.0010646619131017563
513.53221001,5.55566925282532e-06,5.55566925282532e-06,0.04448077301808062,0.0004455121171383164,0.021107157959761338,0.0010131426282619707
513.75702768,4.010987979985367e-05,4.010987979985367e-05,0.043637041719064476,0.026395072727128942,0.16246560475106397,0.0009378686955452129
513.98185875,-2.9984287963119136e-05,2.9984287963119136e-05,0.04087951483603756,0.00974084868147609,-0.09869573790937525,0.0011639397588688303
514.20670322,-1.8542203069657372e-05,1.8542203069657372e-05,0.038019736354191265,0.004776030366791102,-0.06910882987571923,0.0010305022313432165
514.43156109,1.7408899870691942e-05,1.7408899870691942e-05,0.0361548255724293,0.005171394055970527,0.07191240543863435,0.0009296133958427127
514.65643235,1.7385015910496513e-05,1.7385015910496513e-05,0.03602337002717715,0.0058042283738040336,0.07618548663494927,0.0008759907734562914
514.881317,-8.127047225501772e-06,8.127047225501772e-06,0.034760114556788665,0.000899646628388763,-0.029994109894923755,0.0010427065240412449
515.10621504,-4.78148028897507e-05,4.78148028897507e-05,0.03453820010559397,0.025005450363529226,-0.1581311176319488,0.0011494943814264462
515.33112647,-1.9779994546578842e-05,1.9779994546578842e-05,0.03286822790189464,0.007884067211897626,-0.08879227000081497,0.0008542656625700491
515.55605128,-8.050671973913552e-05,8.050671973913552e-05,0.03243196606953393,0.1006177997150969,-0.31720308906928524,0.0009266753210425428
515.78098946,-3.441615224602257e-05,3.441615224602257e-05,0.03233703782545679,0.023126134270612553,-0.15207279267052523,0.0008611737193181761
516.00594103,-3.2669889020070954e-05,3.2669889020070954e-05,0.03200259667154663,0.023757650963947243,-0.1541351710802802,0.0008062792098268072
516.23090597,1.7508799966267435e-05,1.7508799966267435e-05,0.03225792898411199,0.004408264761776313,0.06639476456601313,0.0010130337551475385
516.45588428,2.113521931747879e-05,2.113521931747879e-05,0.034115541431865966,0.0035893349084051476,0.05991105831484825,0.0013557502107842635
516.68087596,1.0972503513801492e-05,1.0972503513801492e-05,0.03690313408833418,0.001719037077237855,0.04146127201664048,0.0010180057493933174
516.905881,-9.796077022544534e-06,9.796077022544534e-06,0.03758508245571485,0.0014897545462995813,-0.038597338590887084,0.000976409111940607
517.13089941,2.1492988699613e-06,2.1492988699613e-06,0.03542282236775173,6.280397602055478e-05,0.007924895962759056,0.0010441198015676513
517.35593118,-4.902749198853054e-05,4.902749198853054e-05,0.03863125907340192,0.02341407153443188,-0.1530165727443661,0.0012190377863803145
517.58097631,-9.690240597065289e-05,9.690240597065289e-05,0.038476266787822566,0.07228074471080809,-0.26885078521516,0.0013365717138591098
517.80603479,-9.820508888514066e-05,9.820508888514066e-05,0.04077927133509867,0.05497770027775013,-0.23447324000352393,0.0015675538399940164
518.03110663,-6.272997942317454e-05,6.272997942317454e-05,0.04175466469168494,0.020282465163857046,-0.14241651998225854,0.0016785177792301158
518.25619181,-9.243789975825035e-05,9.243789975825035e-05,0.04216351234719739,0.02957602351493215,-0.17197681098023695,0.0020385514021690363
518.48129034,-0.00011080079991004689,0.00011080079991004689,0.044376327975701346,0.035236064907915504,-0.18771271908934542,0.002232134986747329
518.70640222,-0.00015786702366897196,0.00015786702366897196,0.045220102318580986,0.08541886739849683,-0.29226506359552595,0.0019887782660006435
518.93152743,-0.00016879515134648912,0.00016879515134648912,0.047556863382470345,0.08948943855224294,-0.29914785399906,0.0020728949763168486
519.15666598,-7.889055456232095e-05,7.889055456232095e-05,0.0479790550011469,0.019487389503241366,-0.1395972403138449,0.0021544454254757
519.38181787,-9.954074768089051e-05,9.954074768089051e-05,0.05055826244230055,0.029143582659712224,-0.17071491633630678,0.002211911065692817
519.6069831,-7.472365564738288e-05,7.472365564738288e-05,0.051189978056749304,0.01857496683474391,-0.1362900100328117,0.002091141312711511
519.83216165,-9.255257345252152e-05,9.255257345252152e-05,0.055022529703862365,0.02115101094728164,-0.14543387138930752,0.002424049654692101
520.05735353,-4.419874419519856e-05,4.419874419519856e-05,0.05569823675072806,0.0048319622365057754,-0.06951231715678723,0.002442064348324526
520.28255873,-6.771787046719495e-05,6.771787046719495e-05,0.05848099860995108,0.012301023228904742,-0.11090997804032215,0.002336176787740942
520.50777726,-4.802841547197386e-05,4.802841547197386e-05,0.05687807317936695,0.00519914979565776,-0.07210513016185298,0.0025577665126008766
520.7330091,-3.6664192781244886e-05,3.6664192781244886e-05,0.05944164380003374,0.00495763901046985,-0.07041050355216791,0.0019997982868341898
520.95825426,-2.2556740315960684e-05,2.2556740315960684e-05,0.060663746977848994,0.002063487534599887,-0.04542562640844799,0.0019097987329428211
521.18351273,-2.625623297914156e-05,2.625623297914156e-05,0.061680088733490755,0.0029414814396250518,-0.05423542605737556,0.0018611030241654882
521.40878452,-7.247267279473784e-05,7.247267279473784e-05,0.06104579651367853,0.03528544167662328,-0.18784419521673615,0.001458937358120322
521.63406961,2.6864382245461035e-05,2.6864382245461035e-05,0.06197638777094508,0.006527152243842556,0.08079079306358217,0.0012760089410836493
521.85936801,6.0689141282959305e-05,6.0689141282959305e-05,0.06493214341094057,0.025159312265791774,0.15861687257600238,0.0014544177395704606
522.08467971,1.893337802889733e-05,1.893337802889733e-05,0.06310954018494405,0.002606755639434075,0.051056396655405234,0.0014258435848517098
522.31000471,-0.00010382696154494807,0.00010382696154494807,0.06256331591232923,0.07927398287368748,-0.2815563582547684,0.0013622936825001225
522.535343,-5.7332779389441995e-05,5.7332779389441995e-05,0.06374604350757294,0.021993337038205153,-0.14830150720139412,0.0014719364756388786
522.76069459,-8.145718181818205e-05,8.145718181818205e-05,0.06438238116363636,0.04949485567156037,-0.22247439329406063,0.0013743182540734953
522.98605947,-0.00017059201146905098,0.00017059201146905098,0.06255579439807725,0.16884567619408583,-0.4109083549820882,0.0014571869793298632
523.21143764,-0.00021938483111261022,0.00021938483111261022,0.06478363587929385,0.24649867522329863,-0.49648632934180437,0.0014767332065995736
523.4368291,-0.0001527741898577618,0.0001527741898577618,0.06315178711032778,0.16369181250876474,-0.4045884483135483,0.0013294757326213391
523.66223383,-0.00010353998504525713,0.00010353998504525713,0.06423206151035026,0.06742554872562778,-0.2596643000599578,0.0014825124163378874
523.88765185,-9.517403716197248e-05,9.517403716197248e-05,0.06495811816337774,0.04645660286375062,-0.21553793833975174,0.001660067428720774
524.11308315,-0.00010182944616854946,0.00010182944616854946,0.06489200792127958,0.062350996669091545,-0.24970181551020318,0.0015203114257266147
524.33852772,-0.00011930652965649072,0.00011930652965649072,0.06508597499845954,0.06263846099284283,-0.2502767687837663,0.001776879465356633
524.56398556,1.9062938213300827e-05,1.9062938213300827e-05,0.06685860396513182,0.001356568358615726,0.036831621721229245,0.001991292019066848
524.78945667,-4.282739590712272e-05,4.282739590712272e-05,0.06762067799441165,0.00552227412536456,-0.07431200525732407,0.002212691906296636
525.01494104,-7.777682194861464e-05,7.777682194861464e-05,0.06815665372886939,0.01781121478520781,-0.1334586632077806,0.002223625460073819
525.24043868,-4.6793879293866773e-05,4.6793879293866773e-05,0.06799627711925563,0.0072976116809108146,-0.08542605972951588,0.0021012074806977324
525.46594959,4.44039574970495e-05,4.44039574970495e-05,0.0691437607811098,0.006488431178813474,0.08055079874720966,0.0021154317622424264
525.69147374,8.011750328891906e-05,8.011750328891906e-05,0.06921124304908079,0.019155269010387548,0.13840256143000948,0.0022072124662774204
525.91701116,0.0001830679916230957,0.0001830679916230957,0.06916550598781132,0.1070354071477502,0.3271626616039034,0.0020357597962671775
526.14256182,0.0001891738424692195,0.0001891738424692195,0.0690522190030022,0.12412603910728084,0.3523152552860589,0.0019346890508080573
526.36812574,0.00027808484736043226,0.00027808484736043226,0.07043885310676336,0.21840679780453098,0.4673401307447617,0.002025327994512015
526.5937029,0.0003065408677123742,0.0003065408677123742,0.07285481075919492,0.19313604956018238,0.43947246735169015,0.0024122237885610665
526.81929331,0.0002543572028447743,0.0002543572028447743,0.07646545380655535,0.15384066906773106,0.39222527846599975,0.0022966523709361604
527.04489696,0.00013497291735537203,0.00013497291735537203,0.07916768747438016,0.0404426134109113,0.201103489305659,0.0025311811929402952
