wavelength,intensity,transmittance,absorbance
199.82001468,0.0015443703333333331,1.9836764568888654,-0.2974412662039947
200.02220309,0.002896248666666667,0.6389465053259356,0.19626072352920418
200.22440896,0.0004481256666666667,0.34145249325033084,0.578737370228733
200.4266323,0.0012678143333333333,0.5120578747832455,0.31099131538297536
200.6288731,0.0016683756666666667,0.45841548882978334,0.3389745883398139
200.83113136,0.0033499829999999995,0.6798393135820407,0.1680161833915348
201.03340708,0.0001971203333333333,1.3333333333333333,1.7993133362240126
201.23570025,0.0023855083333333333,0.6707781148918501,0.1757975258404161
201.43801087,0.003997085,0.8394785976364045,0.07669586677574795
201.64033894,0.004340397,0.6404826200131036,0.19411020132062592
201.84268445,0.003333452333333334,0.6439052359860639,0.19165997267021992
202.04504741,0.0026342466666666666,0.6334059493867711,0.20045012316596011
202.2474278,0.0015228496666666667,0.54629810325324,0.2792960987236299
202.44982564,0.0026149316666666668,0.6448691896548606,0.19146414701384143
202.6522409,-0.001930976,0.0,6.0
202.8546736,0.0043345323333333335,0.7957606867106172,0.1002457507429791
203.05712372,0.0024861613333333333,0.5024182276120785,0.29901294673042306
203.25959128,-0.0011207623333333333,0.0,6.0
203.46207625,0.002445525333333333,0.7348819132675036,0.13565015016251755
203.66457864,0.0013887076666666666,0.7667927438443048,0.12385982299768027
203.86709846,0.004627985,0.7950470879674011,0.10003077003483273
204.06963568,0.004803883333333332,0.8341972450910421,0.07999721139182044
204.27219032,0.002814331666666666,0.9020264892313378,0.04831751968893414
204.47476237,0.0017981739999999998,1.5977803842121163,-0.20002041731208645
204.67735182,0.0014435756666666664,1.8687679934702277,-0.27095259208204875
204.87995868,0.009582039666666667,0.806032997137145,0.09379574464801917
205.08258293,0.004373089333333333,0.6151318692190437,0.21180189379292225
205.28522459,0.00234477,0.5609980763893541,0.25294560506058106
205.48788364,0.001974476666666667,1.2813289551102343,-0.10754455911004453
205.69056008,0.002174503,0.7413870345241422,0.13103532689502498
205.89325391,0.005671748,0.7773574975432384,0.10946745054812339
206.09596513,0.0017470156666666667,0.3734303915889495,0.42989078225844035
206.29869374,0.006190317333333333,0.8996704284236712,0.0462897245424261
206.50143972,0.004823719666666666,0.9587060029268999,0.01838669910891873
206.70420308,0.0024432433333333335,0.6025290712490157,0.22043306808269783
206.90698382,0.0017870010000000005,0.5727548950163622,0.24208458846344794
207.10978194,0.001429312,1.0396962334696014,-0.014910483543535991
207.31259742,0.005612451666666666,0.7605679769553259,0.11886285921912493
207.51543027,-0.00039155799999999997,0.0,6.0
207.71828048,0.0022530239999999997,0.6525888936520259,0.1866114462081507
207.92114806,0.0013753986666666664,0.6543472538068006,0.1858596217868597
208.12403299,0.007492525999999999,0.8900453069205311,0.05086413346879596
208.32693528,0.0014569343333333332,0.4797439274698981,0.3253714017631922
208.52985493,0.002346698,0.6034566288482704,0.22125747589836653
208.73279193,-0.0014952356666666667,0.0,6.0
208.93574627,0.007708868000000001,0.870619778055353,0.06018180303284443
209.13871796,0.004157235,0.706610179574562,0.15123119634576832
209.34170699,0.0027727499999999996,0.5626967231578798,0.25127974108062795
209.54471336,-0.0003749736666666667,0.0,6.0
209.74773707,0.003373408,0.9485643908186248,0.024235993493786277
209.95077811,0.0007357056666666668,2.0,-0.3010299956639812
210.15383649,0.00121137,0.593922367511436,0.22844426527633965
210.35691219,0.0026453356666666667,0.6766360407277241,0.16979165496128215
210.56000522,0.0032650723333333335,0.5994224987439639,0.22232288401621203
210.76311557,-0.00023077999999999998,0.0,6.0
210.96624324,0.004580400333333334,0.7468851794297319,0.1268558179871229
211.16938823,-0.0004687153333333333,0.0,6.0
211.37255053,0.0013567506666666666,0.6093374053115362,0.22069632345298018
211.57573015,0.00013250566666666666,0.14535847357727186,2.444154672364188
211.77892707,0.0030272690000000004,0.594301144718218,0.22601685920667372
211.9821413,0.0005060373333333334,2.0,-0.3010299956639812
212.18537284,0.0017883813333333335,0.8184624303028917,0.0913184063695433
212.38862167,0.0010625773333333333,1.2732491352521549,-0.10289064759684376
212.59188781,0.0006551326666666668,0.365938661363958,0.48777203213678505
212.79517124,0.00023945766666666666,0.3100939727103595,0.5940058100059297
212.99847196,-0.0007858943333333334,0.0,6.0
213.20178997,0.0025149416666666665,0.6077556902395957,0.21723972218335064
213.40512527,0.005023028666666666,0.8477814290287391,0.07199939102966614
213.60847785,0.001643006,0.8969156694907854,0.04899675192322787
213.81184772,0.0018242186666666668,0.679742692586203,0.16917174451046324
214.01523486,-0.0013622496666666668,0.0,6.0
214.21863928,0.0032981236666666663,0.5605860040056544,0.25245639289873223
214.42206097,0.004297802333333334,0.8758816452441461,0.057603341345304176
214.62549993,0.0024631096666666665,2.0,-0.3010299956639812
214.82895616,0.0003269623333333334,0.16711593832524066,0.8737839080129368
215.03242966,0.002824594333333333,0.6377556657394362,0.19599031600386085
215.23592042,-0.00011978999999999995,0.6666666666666666,3.8996566681120064
215.43942843,0.002353743666666667,0.5442081225472516,0.2678175919713484
215.6429537,0.002411681,0.5741537135660567,0.24171238288094388
215.84649623,0.003198890333333334,0.9378462317264215,0.030149121311117005
216.05005601,0.006336415000000001,0.8420787191035425,0.07478219111643675
216.25363303,0.0023859196666666665,0.4465380284414,0.3602403731904679
216.45722731,0.0022826836666666665,0.8128173263636665,0.09053868568737511
216.66083882,-0.0007147606666666667,0.0,6.0
216.86446757,0.0020221893333333333,0.62323420666303,0.20700397833580264
217.06811356,-3.171933333333334e-05,0.6666666666666666,3.8996566681120064
217.27177679,0.005453359333333334,0.8715139873066403,0.0602273160245255
217.47545724,0.002827218,0.8391014263921125,0.07776979461919797
217.67915493,0.0009031600000000001,0.44736802999757286,0.35289198055069565
217.88286984,0.002535454333333333,0.8464634628118027,0.07478458060036147
218.08660198,0.004136375666666667,0.742390233980054,0.1304411671112535
218.29035133,0.006512232333333333,0.8702493235941583,0.06106629867894341
218.4941179,0.0063667843333333335,0.8018347402964049,0.09606111054076594
218.69790169,0.0022771703333333334,1.0323463987693164,-0.013445520361058491
218.90170269,0.0017870506666666666,0.9755495385332053,0.010832786264937338
219.1055209,0.0050721123333333324,0.7134585421592802,0.1470914780408845
219.30935632,0.004340554,0.7403841659886363,0.1305879032731849
