wavelength,slope,abs_slope,intercept,r2,correlation,residual_std
780.7027052,-0.003959373502150305,0.003959373502150305,0.7569269863335585,0.07866248617425849,-0.28046833363903756,0.05216902796535789
780.94112367,-0.006809548516443176,0.006809548516443176,0.7586784810168573,0.22148222055998418,-0.47061897598798985,0.04915230411325395
781.17955235,-0.0057985435308956015,0.0057985435308956015,0.7350807105255218,0.1728155728815073,-0.4157109246598017,0.048841544438802974
781.41799123,-0.009110372954567875,0.009110372954567875,0.7250880304363048,0.38878134039693896,-0.6235233278690854,0.043978709502537905
781.65644031,-0.011287916196350332,0.011287916196350332,0.7376825910398112,0.4907777879123785,-0.7005553425050576,0.04426757443003774
781.89489959,-0.011756882106003508,0.011756882106003508,0.7644193314402161,0.4612801057309202,-0.6791760491440494,0.048916124015613655
782.13336907,-0.010446179528824713,0.010446179528824713,0.7618687707907575,0.4110240315189939,-0.6411115593397095,0.0481430272107001
782.37184874,-0.006987319692580242,0.006987319692580242,0.7709089378027306,0.2519590567121289,-0.5019552337730218,0.04635206013767697
782.61033861,-0.007375746928892112,0.007375746928892112,0.779869523854118,0.28253895469844004,-0.5315439348712767,0.045250849069227814
782.84883866,-0.006793862610613368,0.006793862610613368,0.7660239461114309,0.23666312327688396,-0.4864803421279055,0.04697538147185316
783.0873489,-0.004366148674567532,0.004366148674567532,0.7477204167382161,0.08880685155952182,-0.2980047844574342,0.053844486007873955
783.32586931,-0.005127464000584528,0.005127464000584528,0.7419197023294665,0.09403208831725932,-0.30664652014536103,0.061274773794544914
783.56439991,-0.005825026866630217,0.005825026866630217,0.7189600210817768,0.119816939617466,-0.3461458357650226,0.06078354902560501
783.80294069,-0.002693362960404913,0.002693362960404913,0.7041826656604496,0.03062261865974651,-0.17499319603843605,0.058341943289278025
784.04149164,-0.0031481574066848567,0.0031481574066848567,0.6712778823097912,0.04547709117915131,-0.21325358421173443,0.055528252612021434
784.28005276,-0.004609311996700897,0.004609311996700897,0.6627994182952955,0.10277479746105975,-0.3205850861488409,0.052432945143031554
784.51862406,-0.0029978831857959145,0.0029978831857959145,0.6079150571384219,0.0650633055534409,-0.25507509787009963,0.04375205703653913
784.75720551,-0.0041025960405522985,0.0041025960405522985,0.6280898175139287,0.12498045503664275,-0.3535257487604584,0.04179336233791878
784.99579713,-0.003727262475026858,0.003727262475026858,0.617139128125665,0.11866890188835093,-0.3444835291974798,0.039106756031178636
785.23439891,-0.002476519442160886,0.002476519442160886,0.596541788536166,0.05789924537985056,-0.24062262025805173,0.03846047958671642
785.47301085,-0.0032205369821787216,0.0032205369821787216,0.6229304137719253,0.08255894432780554,-0.28733072290969086,0.041332915492149534
785.71163295,-0.003267104577649588,0.003267104577649588,0.6564900690501685,0.06621860514219152,-0.2573297595347097,0.04723417777070152
785.95026519,-0.0034028190282090497,0.0034028190282090497,0.6587741009627134,0.08981809895302212,-0.2996966782482284,0.0417043878107201
786.18890759,-0.004412053282297276,0.004412053282297276,0.6662058566923188,0.13116660202193478,-0.36216930022012467,0.043717779726816876
