wavelength,intensity,transmittance,absorbance
399.81288841,0.006503857666666667,1.4700009869533803,-0.1672230710135398
400.03045039,0.007668635000000001,1.096292955314179,-0.03933603824923008
400.2480272,0.009516726666666668,1.1879737041285883,-0.07449335789330598
400.46561883,0.003547700666666667,1.9814953011134857,-0.29695493012688834
400.68322529,0.002551042,2.0,-0.3010299956639812
400.90084656,0.0028555086666666664,2.0,-0.3010299956639812
401.11848265,0.006809038666666666,1.575900060097869,-0.19749854669052122
401.33613355,0.0036106906666666673,1.1134793634542302,-0.046187662566440614
401.55379926,0.0033746669999999996,1.5014468702310453,-0.17635229994081678
401.77147978,0.007181404333333333,1.071080854271007,-0.029165672905202496
401.98917511,0.008519984999999999,1.3725816663364085,-0.13753470828106362
402.20688524,0.003531788666666667,2.0,-0.3010299956639812
402.42461017,0.0038950973333333333,1.0650111784644356,-0.026731329145436394
402.64234989,0.0060898356666666655,1.1456039163529808,-0.058395962878364537
402.86010441,0.0007293210000000001,1.0527606564949405,0.009929853894640276
403.07787372,0.007135614999999999,1.2728372995699304,-0.10455591462793445
403.29565782,0.005480838333333334,1.099657981098674,-0.03984095906561718
403.5134567,0.003944329333333333,1.6628707138842043,-0.22039227609822223
403.73127037,0.007192464666666666,1.4022449026010948,-0.14672493483295615
403.94909882,0.0032819073333333337,1.7904665782864793,-0.25257898465466316
404.16694205,0.007719255333333334,1.2231565448092965,-0.08735625797791431
404.38480005,0.0041111306666666665,1.4536825926659311,-0.1622358316229419
404.60267282,0.004140227333333334,1.5551726685272627,-0.1912649254212719
404.82056036,0.002736994666666667,1.1055660802886786,-0.028996413018201012
405.03846267,0.008117892,1.2948290684858528,-0.11215480288599529
405.25637974,0.010269100666666664,1.3229762831116585,-0.1215067676281691
405.47431157,0.007204233666666667,1.3767165242029131,-0.13844073298921547
405.69225816,0.003947013,1.1509709006820652,-0.060774513040655766
405.91021951,0.005585346333333334,1.244900644440383,-0.09505120068326284
406.12819561,0.001987673,1.6861914574053014,-0.21855554046932923
406.34618645,0.0038259549999999994,2.0,-0.3010299956639812
406.56419205,0.004973451333333333,1.1678770971584942,-0.0667743869774129
406.78221239,0.004846878333333333,1.9448109646478635,-0.2887805592110799
407.00024747,0.008138613333333334,1.2981341857179847,-0.11324846541412346
407.21829729,0.000928024,1.7144440324640549,-0.2200774623931013
407.43636184,0.009298604666666667,1.5391422325656332,-0.1872408241647002
407.65444113,0.007242975666666668,1.245914711693828,-0.0954454318883133
407.87253515,0.008771966333333334,1.3808922835867026,-0.1399820783609622
408.0906439,0.006533581666666666,1.3501897426677496,-0.1302880266472605
408.30876737,0.006182025000000001,1.245522222669944,-0.09501570096510263
408.52690556,0.008754629,1.3604030568798444,-0.13354472887616545
408.74505847,0.004614966666666666,1.4998949145124143,-0.17595813262355753
408.9632261,0.007512355666666667,1.3302019939100218,-0.12331464171484273
409.18140844,0.005234461333333333,1.10058079921392,-0.041448530286317196
409.3996055,0.004412916,1.4739543008687577,-0.16801054773741678
409.61781726,0.007762037999999999,1.0417234923468188,-0.01758147785735527
409.83604372,0.006107888666666666,1.2305856200722622,-0.09010137244067967
410.05428489,0.009390713666666667,1.3267486485099111,-0.12276232285589062
410.27254076,0.0026624450000000007,2.0,-0.3010299956639812
410.49081133,0.009585291666666667,1.513867084882427,-0.17992149140016303
410.70909659,0.008081248,1.0580693478297871,-0.02420314568926818
410.92739654,0.005320246333333334,1.7061258412649547,-0.23120080354834305
411.14571118,0.010146547666666667,1.4128454874745415,-0.14991994969580816
411.36404051,0.006949568666666666,1.3659307217213499,-0.1353614163446426
411.58238452,0.009963109333333333,1.3598247156087184,-0.13342708209859422
411.80074321,0.007206245333333333,1.2308184909123618,-0.08975160024712119
412.01911658,0.009125547999999999,1.2350263569248674,-0.09153126045631084
412.23750462,0.010080750333333334,1.235990433230628,-0.09193035884700074
412.45590734,0.007384783999999998,1.2017392776009423,-0.07961284890949646
412.67432472,0.007641750666666666,1.4778919464960645,-0.169544502015292
412.89275677,0.007492220666666667,1.0904643457867527,-0.037576526746878246
413.11120349,0.0048856889999999995,2.0,-0.3010299956639812
413.32966486,0.0039061660000000004,2.0,-0.3010299956639812
413.5481409,0.0061757420000000006,1.5727001864094285,-0.1959746182520672
413.76663159,0.008461173,1.4005271939378492,-0.1460251203135742
413.98513693,0.005068317,1.9339037763710667,-0.2863752554694406
414.20365692,0.00407781,2.0,-0.3010299956639812
414.42219156,0.008610016666666668,1.4399875346268107,-0.1582484424253631
414.64074084,0.003978162666666667,2.0,-0.3010299956639812
414.85930477,0.007329470333333333,1.283682971027184,-0.10808724255365865
415.07788333,0.0032182306666666666,1.2999538168427147,-0.11370041676841029
415.29647653,0.006779956333333333,1.7733814084958945,-0.2485398202788465
415.51508437,0.0038073266666666665,2.0,-0.3010299956639812
415.73370683,0.005323731666666667,2.0,-0.3010299956639812
415.95234392,0.006276137,1.4809859337723965,-0.17037147046003853
416.17099564,0.007443773333333334,2.0,-0.3010299956639812
416.38966198,0.008694435666666668,1.4902762660742885,-0.17281028653308414
416.60834294,0.007501171999999998,1.6642236722124724,-0.22098158323931213
416.82703851,0.008690293333333333,1.8192633034808372,-0.25989005902399104
